employeesID,name,teamID,email
070482781IBM,James Miller,LOG3416938,James_Miller@ibm.com
063135781IBM,John Williams,AI6817564,John_Williams@ibm.com
063135781IBM,Richard Smith,PROD2763962,Richard_Smith@ibm.com
063135781IBM,David Williams,LOG3416938,David_Williams@ibm.com
063135781IBM,David Jones,DATA9132641,David_Jones@ibm.com
063135781IBM,Michael Davis,FIN1631247,Michael_Davis@ibm.com
063135781IBM,William Brown,AI6817564,William_Brown@ibm.com
063381781IBM,David Miller,AI6817564,David_Miller@ibm.com
063381781IBM,Mary Williams,LOG3416938,Mary_Williams@ibm.com
063381781IBM,Jennifer Smith,DATA9132641,Jennifer_Smith@ibm.com
063381781IBM,William Jones,FIN1631247,William_Jones@ibm.com
063375781IBM,John Johnson,DATA9132641,John_Johnson@ibm.com
063375781IBM,John Miller,LOG3416938,John_Miller@ibm.com
063375781IBM,Daniel Smith,DATA9132641,Daniel_Smith@ibm.com
063375781IBM,Thomas Smith,AI6817564,Thomas_Smith@ibm.com
063375781IBM,Linda Smith,LOG3416938,Linda_Smith@ibm.com
063375781IBM,James Wilson,DATA9132641,James_Wilson@ibm.com
063375781IBM,Robert Davis,AI6817564,Robert_Davis@ibm.com
063375781IBM,Mary Brown,DATA9132641,Mary_Brown@ibm.com
063375781IBM,Mary Jones,PROD2763962,Mary_Jones@ibm.com
063375781IBM,Patricia Smith,PROD2763962,Patricia_Smith@ibm.com
063375781IBM,James Moore,FIN1631247,James_Moore@ibm.com
063375781IBM,James Taylor,DATA9132641,James_Taylor@ibm.com
063375781IBM,William Miller,LOG3416938,William_Miller@ibm.com
063375781IBM,John Davis,PROD2763962,John_Davis@ibm.com
063375781IBM,Charles Johnson,PROD2763962,Charles_Johnson@ibm.com
063375781IBM,William Davis,LOG3416938,William_Davis@ibm.com
063375781IBM,John Jones,FIN1631247,John_Jones@ibm.com
063375781IBM,Richard Johnson,LOG3416938,Richard_Johnson@ibm.com
063375781IBM,James Anderson,PROD2763962,James_Anderson@ibm.com
063375781IBM,Robert Taylor,AI6817564,Robert_Taylor@ibm.com
063375781IBM,Barbara Smith,DATA9132641,Barbara_Smith@ibm.com
063375781IBM,Michael Moore,AI6817564,Michael_Moore@ibm.com
063375781IBM,James Martin,FIN1631247,James_Martin@ibm.com
063375781IBM,Michael Wilson,DATA9132641,Michael_Wilson@ibm.com
064216781IBM,James Thomas,PROD2763962,James_Thomas@ibm.com
064216781IBM,Joseph Smith,PROD2763962,Joseph_Smith@ibm.com
064216781IBM,James White,DATA9132641,James_White@ibm.com
064216781IBM,Mary Miller,DATA9132641,Mary_Miller@ibm.com
064216781IBM,Robert Anderson,LOG3416938,Robert_Anderson@ibm.com
065296781IBM,Robert Wilson,DATA9132641,Robert_Wilson@ibm.com
065296781IBM,Charles Williams,AI6817564,Charles_Williams@ibm.com
065296781IBM,Jennifer Johnson,LOG3416938,Jennifer_Johnson@ibm.com
065296781IBM,Michael Anderson,DATA9132641,Michael_Anderson@ibm.com
065296781IBM,John Brown,DATA9132641,John_Brown@ibm.com
065296781IBM,Michael Martin,DATA9132641,Michael_Martin@ibm.com
065296781IBM,James Thompson,PROD2763962,James_Thompson@ibm.com
065296781IBM,Mark Smith,FIN1631247,Mark_Smith@ibm.com
065296781IBM,Michael Thomas,PROD2763962,Michael_Thomas@ibm.com
067334781IBM,David Anderson,PROD2763962,David_Anderson@ibm.com
067334781IBM,Linda Johnson,AI6817564,Linda_Johnson@ibm.com
067334781IBM,Elizabeth Smith,LOG3416938,Elizabeth_Smith@ibm.com
067334781IBM,Mary Davis,AI6817564,Mary_Davis@ibm.com
067334781IBM,James Jackson,DATA9132641,James_Jackson@ibm.com
067701781IBM,Michael Taylor,LOG3416938,Michael_Taylor@ibm.com
067701781IBM,Charles Brown,DATA9132641,Charles_Brown@ibm.com
067701781IBM,Daniel Garcia,FIN1631247,Daniel_Garcia@ibm.com
067981781IBM,James Lee,LOG3416938,James_Lee@ibm.com
067981781IBM,Michael Thompson,DATA9132641,Michael_Thompson@ibm.com
067981781IBM,Daniel Johnson,FIN1631247,Daniel_Johnson@ibm.com
067981781IBM,David Wilson,LOG3416938,David_Wilson@ibm.com
067981781IBM,Thomas Johnson,DATA9132641,Thomas_Johnson@ibm.com
067981781IBM,John Anderson,DATA9132641,John_Anderson@ibm.com
068026781IBM,Robert Moore,FIN1631247,Robert_Moore@ibm.com
068026781IBM,John Wilson,DATA9132641,John_Wilson@ibm.com
068026781IBM,Richard Brown,FIN1631247,Richard_Brown@ibm.com
077352781IBM,Charles Jones,PROD2763962,Charles_Jones@ibm.com
077352781IBM,Mark Johnson,AI6817564,Mark_Johnson@ibm.com
077352781IBM,Robert Lee,LOG3416938,Robert_Lee@ibm.com
077352781IBM,Patricia Johnson,PROD2763962,Patricia_Johnson@ibm.com
077352781IBM,Michael Lee,AI6817564,Michael_Lee@ibm.com
077352781IBM,David Garcia,DATA9132641,David_Garcia@ibm.com
077352781IBM,Robert Martin,LOG3416938,Robert_Martin@ibm.com
077352781IBM,Jennifer Jones,FIN1631247,Jennifer_Jones@ibm.com
069190781IBM,Daniel Martinez,DATA9132641,Daniel_Martinez@ibm.com
069190781IBM,John Thomas,FIN1631247,John_Thomas@ibm.com
069190781IBM,John Martin,FIN1631247,John_Martin@ibm.com
079941781IBM,Richard Miller,AI6817564,Richard_Miller@ibm.com
079941781IBM,Michael White,AI6817564,Michael_White@ibm.com
079941781IBM,Robert Thomas,PROD2763962,Robert_Thomas@ibm.com
079941781IBM,Barbara Johnson,LOG3416938,Barbara_Johnson@ibm.com
079941781IBM,Susan Smith,AI6817564,Susan_Smith@ibm.com
079941781IBM,Robert Thompson,PROD2763962,Robert_Thompson@ibm.com
079941781IBM,Daniel Rodriguez,PROD2763962,Daniel_Rodriguez@ibm.com
079941781IBM,Robert White,LOG3416938,Robert_White@ibm.com
079941781IBM,William Wilson,DATA9132641,William_Wilson@ibm.com
079941781IBM,David Lee,FIN1631247,David_Lee@ibm.com
079941781IBM,Richard Jones,DATA9132641,Richard_Jones@ibm.com
071886781IBM,John Taylor,FIN1631247,John_Taylor@ibm.com
071886781IBM,John Moore,LOG3416938,John_Moore@ibm.com
071886781IBM,Thomas Brown,FIN1631247,Thomas_Brown@ibm.com
071886781IBM,Richard Williams,PROD2763962,Richard_Williams@ibm.com
071886781IBM,William Taylor,LOG3416938,William_Taylor@ibm.com
071886781IBM,David Martin,LOG3416938,David_Martin@ibm.com
071886781IBM,David Martinez,LOG3416938,David_Martinez@ibm.com
071886781IBM,William Moore,FIN1631247,William_Moore@ibm.com
071886781IBM,David Rodriguez,AI6817564,David_Rodriguez@ibm.com
070293781IBM,Thomas Williams,PROD2763962,Thomas_Williams@ibm.com
070293781IBM,Linda Williams,AI6817564,Linda_Williams@ibm.com
070293781IBM,David Moore,AI6817564,David_Moore@ibm.com
070293781IBM,Daniel Miller,DATA9132641,Daniel_Miller@ibm.com
070293781IBM,William Martin,PROD2763962,William_Martin@ibm.com
070293781IBM,Joseph Johnson,LOG3416938,Joseph_Johnson@ibm.com
070293781IBM,David White,AI6817564,David_White@ibm.com
075951781IBM,Michael Jackson,PROD2763962,Michael_Jackson@ibm.com
075951781IBM,Charles Davis,FIN1631247,Charles_Davis@ibm.com
075951781IBM,William White,AI6817564,William_White@ibm.com
077396781IBM,Patricia Williams,FIN1631247,Patricia_Williams@ibm.com
077396781IBM,Thomas Jones,FIN1631247,Thomas_Jones@ibm.com
077396781IBM,David Thomas,FIN1631247,David_Thomas@ibm.com
077396781IBM,William Thomas,DATA9132641,William_Thomas@ibm.com
077396781IBM,Jennifer Brown,FIN1631247,Jennifer_Brown@ibm.com
077396781IBM,John Thompson,LOG3416938,John_Thompson@ibm.com
077396781IBM,Charles Miller,FIN1631247,Charles_Miller@ibm.com
077396781IBM,Robert Jackson,AI6817564,Robert_Jackson@ibm.com
077396781IBM,David Thompson,LOG3416938,David_Thompson@ibm.com
077396781IBM,Elizabeth Johnson,LOG3416938,Elizabeth_Johnson@ibm.com
077396781IBM,Mary Wilson,PROD2763962,Mary_Wilson@ibm.com
077396781IBM,David Taylor,PROD2763962,David_Taylor@ibm.com
077396781IBM,John Lee,PROD2763962,John_Lee@ibm.com
077396781IBM,Jennifer Williams,FIN1631247,Jennifer_Williams@ibm.com
077396781IBM,John White,FIN1631247,John_White@ibm.com
077396781IBM,Michael Garcia,PROD2763962,Michael_Garcia@ibm.com
077396781IBM,Linda Jones,LOG3416938,Linda_Jones@ibm.com
077396781IBM,Joseph Williams,LOG3416938,Joseph_Williams@ibm.com
077396781IBM,Linda Brown,DATA9132641,Linda_Brown@ibm.com
077396781IBM,William Thompson,FIN1631247,William_Thompson@ibm.com
077396781IBM,Thomas Miller,AI6817564,Thomas_Miller@ibm.com
077396781IBM,Mary Anderson,DATA9132641,Mary_Anderson@ibm.com
077396781IBM,Patricia Brown,DATA9132641,Patricia_Brown@ibm.com
077396781IBM,Richard Davis,PROD2763962,Richard_Davis@ibm.com
077396781IBM,Daniel Brown,LOG3416938,Daniel_Brown@ibm.com
077396781IBM,William Anderson,AI6817564,William_Anderson@ibm.com
077396781IBM,Jennifer Miller,AI6817564,Jennifer_Miller@ibm.com
077396781IBM,Mary Thomas,AI6817564,Mary_Thomas@ibm.com
079945781IBM,Mary Moore,FIN1631247,Mary_Moore@ibm.com
079945781IBM,Patricia Jones,AI6817564,Patricia_Jones@ibm.com
079945781IBM,Mary Martin,LOG3416938,Mary_Martin@ibm.com
079945781IBM,Barbara Williams,AI6817564,Barbara_Williams@ibm.com
079945781IBM,Daniel Williams,LOG3416938,Daniel_Williams@ibm.com
079945781IBM,Joseph Brown,DATA9132641,Joseph_Brown@ibm.com
079945781IBM,Mary Taylor,LOG3416938,Mary_Taylor@ibm.com
079945781IBM,Michael Martinez,FIN1631247,Michael_Martinez@ibm.com
079945781IBM,Barbara Brown,LOG3416938,Barbara_Brown@ibm.com
079945781IBM,William Jackson,PROD2763962,William_Jackson@ibm.com
079945781IBM,Mark Miller,DATA9132641,Mark_Miller@ibm.com
079945781IBM,Linda Miller,FIN1631247,Linda_Miller@ibm.com
079945781IBM,Joseph Miller,AI6817564,Joseph_Miller@ibm.com
079945781IBM,Mary White,PROD2763962,Mary_White@ibm.com
079945781IBM,David Davis,AI6817564,David_Davis@ibm.com
079945781IBM,Daniel Jones,FIN1631247,Daniel_Jones@ibm.com
079945781IBM,David Jackson,PROD2763962,David_Jackson@ibm.com
079945781IBM,Mary Thompson,FIN1631247,Mary_Thompson@ibm.com
079945781IBM,Mark Williams,PROD2763962,Mark_Williams@ibm.com
079945781IBM,Susan Johnson,LOG3416938,Susan_Johnson@ibm.com
079945781IBM,Barbara Jones,PROD2763962,Barbara_Jones@ibm.com
079945781IBM,Mary Jackson,FIN1631247,Mary_Jackson@ibm.com
077336781IBM,Jennifer Davis,DATA9132641,Jennifer_Davis@ibm.com
077336781IBM,Patricia Miller,PROD2763962,Patricia_Miller@ibm.com
077336781IBM,Linda Davis,FIN1631247,Linda_Davis@ibm.com
077336781IBM,Thomas Davis,PROD2763962,Thomas_Davis@ibm.com
078217781IBM,Richard Anderson,LOG3416938,Richard_Anderson@ibm.com
078217781IBM,Elizabeth Garcia,AI6817564,Elizabeth_Garcia@ibm.com
078217781IBM,Charles Wilson,FIN1631247,Charles_Wilson@ibm.com
078217781IBM,Elizabeth Rodriguez,LOG3416938,Elizabeth_Rodriguez@ibm.com
078217781IBM,Robert Garcia,DATA9132641,Robert_Garcia@ibm.com
078217781IBM,John Jackson,LOG3416938,John_Jackson@ibm.com
078217781IBM,William Williams,PROD2763962,William_Williams@ibm.com
078217781IBM,Michael Rodriguez,FIN1631247,Michael_Rodriguez@ibm.com
079001781IBM,Barbara Miller,PROD2763962,Barbara_Miller@ibm.com
079001781IBM,Elizabeth Williams,LOG3416938,Elizabeth_Williams@ibm.com
079001781IBM,Elizabeth Brown,FIN1631247,Elizabeth_Brown@ibm.com
079001781IBM,William Lee,AI6817564,William_Lee@ibm.com
079001781IBM,Mary Garcia,AI6817564,Mary_Garcia@ibm.com
001054781IBM,Elizabeth Martinez,LOG3416938,Elizabeth_Martinez@ibm.com
001054781IBM,Robert Martinez,DATA9132641,Robert_Martinez@ibm.com
001054781IBM,Elizabeth Jones,AI6817564,Elizabeth_Jones@ibm.com
000135781IBM,Patricia Davis,AI6817564,Patricia_Davis@ibm.com
000135781IBM,Joseph Jones,DATA9132641,Joseph_Jones@ibm.com
000135781IBM,Thomas Moore,AI6817564,Thomas_Moore@ibm.com
000135781IBM,Daniel Taylor,FIN1631247,Daniel_Taylor@ibm.com
000135781IBM,Charles Moore,AI6817564,Charles_Moore@ibm.com
000135781IBM,Elizabeth Miller,DATA9132641,Elizabeth_Miller@ibm.com
000135781IBM,Charles Taylor,FIN1631247,Charles_Taylor@ibm.com
000135781IBM,Mary Martinez,FIN1631247,Mary_Martinez@ibm.com
000135781IBM,Daniel Davis,FIN1631247,Daniel_Davis@ibm.com
079353781IBM,Barbara Davis,PROD2763962,Barbara_Davis@ibm.com
079353781IBM,Susan Miller,FIN1631247,Susan_Miller@ibm.com
079353781IBM,Joseph Davis,AI6817564,Joseph_Davis@ibm.com
079353781IBM,Mark Brown,DATA9132641,Mark_Brown@ibm.com
079353781IBM,Charles Thomas,LOG3416938,Charles_Thomas@ibm.com
109848781IBM,Richard Wilson,AI6817564,Richard_Wilson@ibm.com
109848781IBM,Thomas Wilson,DATA9132641,Thomas_Wilson@ibm.com
Y9G8C9638IBM,Robert Rodriguez,LOG3416938,Robert_Rodriguez@ibm.com
Y9G8C9638IBM,Mark Davis,PROD2763962,Mark_Davis@ibm.com
020921781IBM,Mary Lee,AI6817564,Mary_Lee@ibm.com
020921781IBM,Mark Jones,AI6817564,Mark_Jones@ibm.com
020921781IBM,Charles Anderson,LOG3416938,Charles_Anderson@ibm.com
020921781IBM,Richard Taylor,AI6817564,Richard_Taylor@ibm.com
020921781IBM,Richard Martin,DATA9132641,Richard_Martin@ibm.com
020921781IBM,Thomas Martin,DATA9132641,Thomas_Martin@ibm.com
020921781IBM,Richard Moore,AI6817564,Richard_Moore@ibm.com
020921781IBM,Charles White,DATA9132641,Charles_White@ibm.com
020921781IBM,Mark Anderson,DATA9132641,Mark_Anderson@ibm.com
020921781IBM,Susan Brown,LOG3416938,Susan_Brown@ibm.com
020921781IBM,John Garcia,FIN1631247,John_Garcia@ibm.com
020921781IBM,Jennifer Wilson,AI6817564,Jennifer_Wilson@ibm.com
020921781IBM,Richard White,LOG3416938,Richard_White@ibm.com
020921781IBM,Jennifer Anderson,DATA9132641,Jennifer_Anderson@ibm.com
000714781IBM,Thomas Anderson,FIN1631247,Thomas_Anderson@ibm.com
000714781IBM,John Martinez,LOG3416938,John_Martinez@ibm.com
000714781IBM,Patricia Garcia,PROD2763962,Patricia_Garcia@ibm.com
000714781IBM,Daniel Martin,PROD2763962,Daniel_Martin@ibm.com
000714781IBM,Charles Jackson,LOG3416938,Charles_Jackson@ibm.com
000714781IBM,Jennifer Lee,FIN1631247,Jennifer_Lee@ibm.com
000714781IBM,Richard Thomas,LOG3416938,Richard_Thomas@ibm.com
000714781IBM,Charles Thompson,LOG3416938,Charles_Thompson@ibm.com
074627781IBM,Richard Thompson,DATA9132641,Richard_Thompson@ibm.com
074627781IBM,Charles Martin,LOG3416938,Charles_Martin@ibm.com
074627781IBM,Elizabeth Davis,PROD2763962,Elizabeth_Davis@ibm.com
000855781IBM,Thomas Taylor,AI6817564,Thomas_Taylor@ibm.com
000855781IBM,Linda Wilson,LOG3416938,Linda_Wilson@ibm.com
000855781IBM,Richard Garcia,PROD2763962,Richard_Garcia@ibm.com
000855781IBM,Joseph Martin,DATA9132641,Joseph_Martin@ibm.com
000855781IBM,Joseph Thomas,DATA9132641,Joseph_Thomas@ibm.com
000855781IBM,Daniel Lee,FIN1631247,Daniel_Lee@ibm.com
000855781IBM,Jennifer Taylor,LOG3416938,Jennifer_Taylor@ibm.com
000855781IBM,Richard Lee,FIN1631247,Richard_Lee@ibm.com
000855781IBM,Thomas White,LOG3416938,Thomas_White@ibm.com
077391781IBM,Jennifer Martin,DATA9132641,Jennifer_Martin@ibm.com
077391781IBM,Linda Anderson,AI6817564,Linda_Anderson@ibm.com
077391781IBM,Mary Rodriguez,LOG3416938,Mary_Rodriguez@ibm.com
077391781IBM,Joseph Garcia,AI6817564,Joseph_Garcia@ibm.com
077391781IBM,Susan Williams,FIN1631247,Susan_Williams@ibm.com
077391781IBM,Joseph Martinez,PROD2763962,Joseph_Martinez@ibm.com
077391781IBM,Jennifer Garcia,DATA9132641,Jennifer_Garcia@ibm.com
077391781IBM,Linda Taylor,PROD2763962,Linda_Taylor@ibm.com
057209781IBM,Daniel Wilson,LOG3416938,Daniel_Wilson@ibm.com
057209781IBM,Patricia Martinez,AI6817564,Patricia_Martinez@ibm.com
057209781IBM,Mark Wilson,DATA9132641,Mark_Wilson@ibm.com
057209781IBM,Linda Moore,FIN1631247,Linda_Moore@ibm.com
057209781IBM,Jennifer Moore,PROD2763962,Jennifer_Moore@ibm.com
057209781IBM,Susan Jones,PROD2763962,Susan_Jones@ibm.com
057209781IBM,John Rodriguez,LOG3416938,John_Rodriguez@ibm.com
057209781IBM,Richard Martinez,LOG3416938,Richard_Martinez@ibm.com
057209781IBM,Daniel Moore,DATA9132641,Daniel_Moore@ibm.com
057209781IBM,Patricia Rodriguez,FIN1631247,Patricia_Rodriguez@ibm.com
057209781IBM,Linda Martin,PROD2763962,Linda_Martin@ibm.com
057209781IBM,Jennifer Rodriguez,AI6817564,Jennifer_Rodriguez@ibm.com
057209781IBM,Patricia Taylor,DATA9132641,Patricia_Taylor@ibm.com
057209781IBM,Thomas Lee,LOG3416938,Thomas_Lee@ibm.com
057209781IBM,Charles Lee,AI6817564,Charles_Lee@ibm.com
057209781IBM,Jennifer Thompson,AI6817564,Jennifer_Thompson@ibm.com
057209781IBM,Linda Thomas,DATA9132641,Linda_Thomas@ibm.com
057209781IBM,Patricia Thomas,AI6817564,Patricia_Thomas@ibm.com
079351781IBM,Patricia Martin,LOG3416938,Patricia_Martin@ibm.com
079351781IBM,Jennifer White,DATA9132641,Jennifer_White@ibm.com
079351781IBM,Jennifer Martinez,DATA9132641,Jennifer_Martinez@ibm.com
000176781IBM,Patricia Wilson,FIN1631247,Patricia_Wilson@ibm.com
000176781IBM,Patricia Anderson,AI6817564,Patricia_Anderson@ibm.com
000176781IBM,Barbara Wilson,PROD2763962,Barbara_Wilson@ibm.com
000176781IBM,Richard Rodriguez,PROD2763962,Richard_Rodriguez@ibm.com
000176781IBM,Patricia Moore,LOG3416938,Patricia_Moore@ibm.com
000176781IBM,Daniel Anderson,FIN1631247,Daniel_Anderson@ibm.com
000176781IBM,Joseph Wilson,LOG3416938,Joseph_Wilson@ibm.com
000176781IBM,Daniel White,PROD2763962,Daniel_White@ibm.com
000176781IBM,Jennifer Thomas,AI6817564,Jennifer_Thomas@ibm.com
000176781IBM,Joseph White,PROD2763962,Joseph_White@ibm.com
000176781IBM,Daniel Thompson,DATA9132641,Daniel_Thompson@ibm.com
000176781IBM,Thomas Thompson,AI6817564,Thomas_Thompson@ibm.com
000176781IBM,Barbara Anderson,DATA9132641,Barbara_Anderson@ibm.com
000176781IBM,Linda White,AI6817564,Linda_White@ibm.com
000176781IBM,Mark Thompson,AI6817564,Mark_Thompson@ibm.com
000176781IBM,Thomas Jackson,DATA9132641,Thomas_Jackson@ibm.com
000176781IBM,Joseph Moore,AI6817564,Joseph_Moore@ibm.com
000176781IBM,Linda Thompson,AI6817564,Linda_Thompson@ibm.com
000176781IBM,Linda Jackson,PROD2763962,Linda_Jackson@ibm.com
000176781IBM,Susan Davis,FIN1631247,Susan_Davis@ibm.com
000176781IBM,Elizabeth Wilson,PROD2763962,Elizabeth_Wilson@ibm.com
001215781IBM,Joseph Taylor,LOG3416938,Joseph_Taylor@ibm.com
001215781IBM,Richard Jackson,PROD2763962,Richard_Jackson@ibm.com
001215781IBM,Barbara Taylor,DATA9132641,Barbara_Taylor@ibm.com
001215781IBM,Joseph Rodriguez,FIN1631247,Joseph_Rodriguez@ibm.com
001215781IBM,Linda Lee,AI6817564,Linda_Lee@ibm.com
001215781IBM,Elizabeth Anderson,LOG3416938,Elizabeth_Anderson@ibm.com
001215781IBM,Joseph Lee,DATA9132641,Joseph_Lee@ibm.com
001215781IBM,Mark Taylor,PROD2763962,Mark_Taylor@ibm.com
001215781IBM,Susan Anderson,AI6817564,Susan_Anderson@ibm.com
001215781IBM,Patricia White,FIN1631247,Patricia_White@ibm.com
107089781IBM,Patricia Jackson,PROD2763962,Patricia_Jackson@ibm.com
107089781IBM,Patricia Thompson,LOG3416938,Patricia_Thompson@ibm.com
068738781IBM,Jennifer Jackson,AI6817564,Jennifer_Jackson@ibm.com
068738781IBM,Barbara Moore,DATA9132641,Barbara_Moore@ibm.com
068738781IBM,Daniel Thomas,FIN1631247,Daniel_Thomas@ibm.com
068738781IBM,Joseph Jackson,PROD2763962,Joseph_Jackson@ibm.com
068738781IBM,Barbara Thomas,DATA9132641,Barbara_Thomas@ibm.com
068738781IBM,Barbara Martin,FIN1631247,Barbara_Martin@ibm.com
068738781IBM,Elizabeth Martin,DATA9132641,Elizabeth_Martin@ibm.com
068738781IBM,Elizabeth Moore,LOG3416938,Elizabeth_Moore@ibm.com
068738781IBM,Joseph Anderson,AI6817564,Joseph_Anderson@ibm.com
068738781IBM,Mark Thomas,PROD2763962,Mark_Thomas@ibm.com
106397781IBM,Barbara Jackson,LOG3416938,Barbara_Jackson@ibm.com
106397781IBM,Joseph Thompson,AI6817564,Joseph_Thompson@ibm.com
106397781IBM,Elizabeth Taylor,PROD2763962,Elizabeth_Taylor@ibm.com
106397781IBM,Barbara White,PROD2763962,Barbara_White@ibm.com
106397781IBM,Barbara Thompson,FIN1631247,Barbara_Thompson@ibm.com
080844781IBM,Elizabeth Thomas,FIN1631247,Elizabeth_Thomas@ibm.com
080844781IBM,Elizabeth Thompson,FIN1631247,Elizabeth_Thompson@ibm.com
080844781IBM,Daniel Jackson,DATA9132641,Daniel_Jackson@ibm.com
080844781IBM,Susan Wilson,AI6817564,Susan_Wilson@ibm.com
080844781IBM,Elizabeth White,DATA9132641,Elizabeth_White@ibm.com
080844781IBM,Susan Martin,FIN1631247,Susan_Martin@ibm.com
080844781IBM,Linda Garcia,LOG3416938,Linda_Garcia@ibm.com
080844781IBM,Susan Taylor,FIN1631247,Susan_Taylor@ibm.com
080844781IBM,Susan Lee,DATA9132641,Susan_Lee@ibm.com
109102781IBM,William Rodriguez,LOG3416938,William_Rodriguez@ibm.com
109102781IBM,Susan Moore,PROD2763962,Susan_Moore@ibm.com
109102781IBM,Susan Thomas,LOG3416938,Susan_Thomas@ibm.com
109102781IBM,Patricia Lee,DATA9132641,Patricia_Lee@ibm.com
109102781IBM,Linda Martinez,PROD2763962,Linda_Martinez@ibm.com
002033781IBM,Elizabeth Lee,LOG3416938,Elizabeth_Lee@ibm.com
002033781IBM,Susan Thompson,PROD2763962,Susan_Thompson@ibm.com
106836781IBM,Elizabeth Jackson,FIN1631247,Elizabeth_Jackson@ibm.com
106836781IBM,James Garcia,PROD2763962,James_Garcia@ibm.com
106836781IBM,Mark Moore,LOG3416938,Mark_Moore@ibm.com
106836781IBM,Mark White,FIN1631247,Mark_White@ibm.com
106836781IBM,Mark Jackson,PROD2763962,Mark_Jackson@ibm.com
106836781IBM,Barbara Lee,AI6817564,Barbara_Lee@ibm.com
106836781IBM,Susan White,FIN1631247,Susan_White@ibm.com
106836781IBM,Linda Rodriguez,FIN1631247,Linda_Rodriguez@ibm.com
056676781IBM,James Martinez,LOG3416938,James_Martinez@ibm.com
056676781IBM,Mark Lee,LOG3416938,Mark_Lee@ibm.com
056676781IBM,William Martinez,LOG3416938,William_Martinez@ibm.com
056676781IBM,William Garcia,PROD2763962,William_Garcia@ibm.com
056676781IBM,Mark Martin,AI6817564,Mark_Martin@ibm.com
056676781IBM,James Rodriguez,PROD2763962,James_Rodriguez@ibm.com
106125781IBM,Mark Martinez,PROD2763962,Mark_Martinez@ibm.com
106125781IBM,Mark Garcia,FIN1631247,Mark_Garcia@ibm.com
106125781IBM,Susan Jackson,PROD2763962,Susan_Jackson@ibm.com
106125781IBM,Thomas Garcia,PROD2763962,Thomas_Garcia@ibm.com
106125781IBM,Thomas Martinez,PROD2763962,Thomas_Martinez@ibm.com
077813781IBM,Barbara Garcia,AI6817564,Barbara_Garcia@ibm.com
077813781IBM,Barbara Rodriguez,AI6817564,Barbara_Rodriguez@ibm.com
077813781IBM,Mark Rodriguez,PROD2763962,Mark_Rodriguez@ibm.com
077813781IBM,Barbara Martinez,AI6817564,Barbara_Martinez@ibm.com
077813781IBM,Susan Garcia,LOG3416938,Susan_Garcia@ibm.com
077813781IBM,Susan Martinez,PROD2763962,Susan_Martinez@ibm.com
077813781IBM,Susan Rodriguez,DATA9132641,Susan_Rodriguez@ibm.com
077813781IBM,Maria Smith,LOG3416938,Maria_Smith@ibm.com
077813781IBM,Thomas Rodriguez,LOG3416938,Thomas_Rodriguez@ibm.com
07216A781IBM,Charles Garcia,LOG3416938,Charles_Garcia@ibm.com
07216A781IBM,Maria Johnson,LOG3416938,Maria_Johnson@ibm.com
07216A781IBM,Charles Martinez,DATA9132641,Charles_Martinez@ibm.com
07216A781IBM,Thomas Thomas,DATA9132641,Thomas_Thomas@ibm.com
07216A781IBM,Maria Williams,LOG3416938,Maria_Williams@ibm.com
07216A781IBM,Maria Martin,FIN1631247,Maria_Martin@ibm.com
07216A781IBM,Charles Rodriguez,LOG3416938,Charles_Rodriguez@ibm.com
